序号,代码,名称,最新价,涨跌幅,涨跌额,成交量(手),成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率,市净率
1,300780,N德恩,16.68,44.04%,5.1,403,67.2万,24.01%,16.68,13.9,13.9,11.58,-,0.11%,46.73,2.62
2,2676,顺威股份,3.69,10.15%,0.34,15.23万,5516万,9.55%,3.69,3.37,3.37,3.35,1.16,2.11%,-,2.58
3,601619,嘉泽新能,4.91,10.09%,0.45,16.55万,8006万,8.52%,4.91,4.53,4.54,4.46,1.82,3.28%,52.26,3.64
4,2310,东方园林,5.57,10.08%,0.51,52.66万,2.81亿,9.88%,5.57,5.07,5.08,5.06,1.62,3.23%,-,1.2
5,2261,拓维信息,6.45,10.07%,0.59,82.2万,5.1亿,9.73%,6.45,5.88,5.93,5.86,1.53,9.28%,150.4,2.85
6,2696,百洋股份,7.23,10.05%,0.66,38.33万,2.7亿,6.54%,7.23,6.8,7,6.57,5.11,17.97%,97.39,1.31
7,300366,创意信息,11.06,10.05%,1.01,40.74万,4.39亿,11.74%,11.06,9.88,9.93,10.05,0.7,13.22%,53.3,2.45
8,603266,天龙股份,13.92,10.04%,1.27,7866,1095万,0.00%,13.92,13.92,13.92,12.65,0.15,1.61%,60.63,3.26
9,2828,贝肯能源,14.25,10.04%,1.3,17.83万,2.52亿,4.71%,14.25,13.64,13.8,12.95,3.45,18.03%,-,3.08
10,2725,跃岭股份,12.6,10.04%,1.15,19.37万,2.39亿,6.11%,12.6,11.9,11.9,11.45,0.88,10.97%,35.44,3.39
11,300262,巴安水务,7.78,10.04%,0.71,16.43万,1.26亿,10.04%,7.78,7.07,7.07,7.07,3.64,3.60%,48.95,2.24
12,2866,传艺科技,13.81,10.04%,1.26,13.59万,1.83亿,9.72%,13.81,12.59,12.61,12.55,2.63,16.86%,33.37,3.43
13,300095,华伍股份,7.02,10.03%,0.64,45.69万,3.18亿,8.46%,7.02,6.48,7.02,6.38,7.4,16.59%,35.75,2.29
14,970,中科三环,12.95,10.03%,1.18,139.1万,17.7亿,11.47%,12.95,11.6,11.68,11.77,2.04,13.06%,77.99,3.06
15,603693,江苏新能,13.71,10.03%,1.25,4.08万,5545万,4.90%,13.71,13.1,13.1,12.46,0.92,3.46%,37.43,1.88
16,603727,博迈科,18.65,10.03%,1.7,5万,9315万,1.53%,18.65,18.39,18.65,16.95,2.4,5.27%,291.24,1.84
17,586,汇源通信,14.59,10.03%,1.33,6.6万,9626万,0.00%,14.59,14.59,14.59,13.26,0.4,3.41%,-,12.1
