序号	代码	名称		相关链接	最新价	涨跌幅	涨跌额	成交量(手)	成交额		振幅	最高	最低	今开	昨收	量比	换手率	市盈率(动态)	市净率
1	603983	丸美		股吧		29.58	44.01%	9.04	976		288.75万	0.00%	29.58	29.58	29.58	20.54	3	0.24%	24.67		5.19
2	2636	金安国纪	股吧		8.64	10.06%	0.79	16.14万		1.35亿		9.81%	8.64	7.87	7.88	7.85	3	6.55%	60.83		2.48
3	300449	汉邦高科	股吧		10.74	10.04%	0.98	45.63万		4.78亿		9.43%	10.74	9.82	10.16	9.76	9	20.08%	43.35		2.28
4	603499	翔港科技	股吧		22.94	10.02%	2.09	5.09万		1.14亿		10.94%	22.94	20.66	20.83	20.85	3	14.33%	60.04		6.12
5	603327	福蓉科技	股吧		23.71	10.02%	2.16	8.33万		1.94亿		10.02%	23.71	21.55	21.77	21.55	1	16.33%	35.15		8.85
6	300620	光库科技	股吧		35.04	10.02%	3.19	1.31万		4540.95万	9.54%	35.04	32	32.58	31.85	3	5.97%	143.14		5.79
7	600546	山煤国际	股吧		7.14	10.02%	0.65	70.10万		4.88亿		7.09%	7.14	6.68	6.71	6.49	3	3.54%	16.05		3.8
8	49	德赛电池	股吧		29.55	10.01%	2.69	16.48万		4.83亿		4.65%	29.55	28.3	29	26.86	7	8.03%	22.33		3.26
9	2861	瀛通通讯	股吧		22.52	10.01%	2.05	8245		1846.59万	9.87%	22.52	20.5	20.5	20.47	1	1.64%	114.79		2.75
10	603256	宏和科技	股吧		9.34	10.01%	0.85	1945		181.63万	0.00%	9.34	9.34	9.34	8.49	2	0.22%	67.57		5.58
11	300675	建科院		股吧		17.7	10.01%	1.61	2.28万		3982.31万	9.63%	17.7	16.15	16.27	16.09	2	2.82%	27.6		6.34
12	603236	移远通信	股吧		123.29	10.00%	11.21	1.89万		2.33亿		0.00%	123.29	123.29	123.29	112.08	1	8.48%	60.92		6.86
13	300740	御家汇		股吧		9.02	10.00%	0.82	9.69万		8441.58万	9.51%	9.02	8.24	8.26	8.2	3	4.34%	2040.27		2.62
14	300619	金银河		股吧		25.85	10.00%	2.35	1.83万		4606.35万	10.47%	25.85	23.39	23.7	23.5	2	6.00%	117.02		4.23
15	300455	康拓红外	股吧		9.57	10.00%	0.87	12.95万		1.22亿		7.13%	9.57	8.95	9.38	8.7	5	2.59%	92.53		6.64
16	300402	宝色股份	股吧		11	10.00%	1	11.84万		1.25亿		10.50%	11	9.95	9.95	10	1	13.72%	135.2		3.6
17	300162	雷曼光电	股吧		7.15	10.00%	0.65	17.56万		1.23亿		8.46%	7.15	6.6	6.62	6.5	1	7.66%	51.53		2.4
18	300108	吉药控股	股吧		5.94	10.00%	0.54	4.91万		2916.39万	0.00%	5.94	5.94	5.94	5.4	1	1.08%	34.24		1.77
19	2903	宇环数控	股吧		13.86	10.00%	1.26	4.41万		5975.82万	10.00%	13.86	12.6	12.61	12.6	2	6.68%	-67.62		3.5
20	2481	双塔食品	股吧		6.82	10.00%	0.62	69.34万		4.48亿		10.65%	6.82	6.16	6.3	6.2	1	6.26%	57.04		3.24
