序号	代码	名称	最新价	涨跌幅	涨跌额	成交量(手)	成交额	振幅	最高	最低	今开	昨收	量比	换手率	市盈率(动态)	市净率
1	603983	N丸美	29.58	0.44	9.04	976	288.75万	0.00	29.58	29.58	29.58	20.54	-	0.00	24.67	5.19
2	002636	金安国纪	8.64	0.10	0.79	16.14万	1.35亿	0.10	8.64	7.87	7.88	7.85	3.00	0.07	60.83	2.48
3	300449	汉邦高科	10.74	0.10	0.98	45.63万	4.78亿	0.09	10.74	9.82	10.16	9.76	9.00	0.20	-43.35	2.28
4	603499	翔港科技	22.94	0.10	2.09	5.09万	1.14亿	0.11	22.94	20.66	20.83	20.85	3.00	0.14	60.04	6.12
5	603327	福蓉科技	23.71	0.10	2.16	8.33万	1.94亿	0.10	23.71	21.55	21.77	21.55	1.00	0.16	35.15	8.85
6	300620	光库科技	35.04	0.10	3.19	1.31万	4540.95万	0.10	35.04	32.00	32.58	31.85	3.00	0.06	143.14	5.79
7	600546	山煤国际	7.14	0.10	0.65	70.10万	4.88亿	0.07	7.14	6.68	6.71	6.49	3.00	0.04	16.05	3.80
8	000049	德赛电池	29.55	0.10	2.69	16.48万	4.83亿	0.05	29.55	28.30	29.00	26.86	7.00	0.08	22.33	3.26
9	002861	瀛通通讯	22.52	0.10	2.05	8245	1846.59万	0.10	22.52	20.50	20.50	20.47	1.00	0.02	114.79	2.75
10	603256	宏和科技	9.34	0.10	0.85	1945	181.63万	0.00	9.34	9.34	9.34	8.49	2.00	0.00	67.57	5.58
11	300675	建科院	17.70	0.10	1.61	2.28万	3982.31万	0.10	17.70	16.15	16.27	16.09	2.00	0.03	-27.60	6.34
12	603236	移远通信	123.29	0.10	11.21	1.89万	2.33亿	0.00	123.29	123.29	123.29	112.08	1.00	0.08	60.92	6.86
13	300740	御家汇	9.02	0.10	0.82	9.69万	8441.58万	0.10	9.02	8.24	8.26	8.20	3.00	0.04	2040.27	2.62
14	300619	金银河	25.85	0.10	2.35	1.83万	4606.35万	0.10	25.85	23.39	23.70	23.50	2.00	0.06	117.02	4.23
15	300455	康拓红外	9.57	0.10	0.87	12.95万	1.22亿	0.07	9.57	8.95	9.38	8.70	5.00	0.03	92.53	6.64
16	300402	宝色股份	11.00	0.10	1.00	11.84万	1.25亿	0.11	11.00	9.95	9.95	10.00	1.00	0.14	135.20	3.60
17	300162	雷曼光电	7.15	0.10	0.65	17.56万	1.23亿	0.08	7.15	6.60	6.62	6.50	1.00	0.08	51.53	2.40
18	300108	吉药控股	5.94	0.10	0.54	4.91万	2916.39万	0.00	5.94	5.94	5.94	5.40	1.00	0.01	34.24	1.77
19	002903	宇环数控	13.86	0.10	1.26	4.41万	5975.82万	0.10	13.86	12.60	12.61	12.60	2.00	0.07	-67.62	3.50
20	002481	双塔食品	6.82	0.10	0.62	69.34万	4.48亿	0.11	6.82	6.16	6.30	6.20	1.00	0.06	57.04	3.24
