序号|代码|名称|最新价|涨跌幅|涨跌额|成交量|成交额|振幅|最高|最低|今开|昨收|量比|换手率|市盈率|市净率
1|300447|全信股份|13.59|10.04%|1.24|1.57万|2131.17万|0.00%|13.59|13.59|13.59|12.35|0|0.90%|40.56|3.13
2|300354|东华测试|13.81|10.04%|1.26|14.04万|1.90亿|6.37%|13.81|13.01|13.13|12.55|3|18.61%|202.82|5.44
3|002384|东山精密|15.79|10.03%|1.44|143.40万|22.25亿|9.13%|15.79|14.48|14.48|14.35|3|12.34%|31.87|2.93
4|603787|新日股份|21.53|10.02%|1.96|11.20万|2.28亿|11.91%|21.53|19.20|19.55|19.57|1|15.80%|66.82|4.83
5|603297|永新光学|37.13|10.01%|3.38|2.33万|8446.60万|10.16%|37.13|33.70|33.88|33.75|1|8.54%|39.27|4.0
6|002837|英维克|16.92|10.01%|1.54|2.34万|3903.90万|10.01%|16.92|15.38|15.56|15.38|2|3.17%|153.19|3.43
7|002201|九鼎新材|10.77|10.01%|0.98|8.16万|8790.72万|1.12%|10.77|10.66|10.77|9.79|1|2.46%|351.42|3.97
8|300708|聚灿光电|18.91|10.01%|1.72|12.51万|2.36亿|4.25%|18.91|18.18|18.91|17.19|1|14.30%|315.61|6.69
9|300788|中信出版|43.56|10.00%|3.96|11.43万|4.83亿|6.29%|43.56|41.07|41.52|39.60|1|24.04%|40.07|5.26
10|300428|四通新材|14.30|10.00%|1.30|1.61万|2303.88万|0.00%|14.30|14.30|14.30|13.00|0|1.17%|20.61|2.41
11|300667|必创科技|30.16|9.99%|2.74|2.71万|8125.59万|9.77%|30.16|27.48|27.54|27.42|1|5.04%|166.45|7.38
12|000049|德赛电池|26.86|9.99%|2.44|3.45万|9254.54万|0.00%|26.86|26.86|26.86|24.42|2|1.68%|20.30|2.96
13|603936|博敏电子|14.31|9.99%|1.30|2.57万|3677.12万|0.00%|14.31|14.31|14.31|13.01|1|1.10%|63.91|1.99
14|600071|凤凰光学|11.15|9.96%|1.01|3.30万|3613.80万|10.36%|11.15|10.10|10.12|10.14|3|1.39%|61.83|3.96
15|300136|信维通信|26.39|8.69%|2.11|88.63万|23.08亿|8.98%|26.70|24.52|24.52|24.28|4|10.94%|26.50|6.54
16|300615|欣天科技|23.47|8.31%|1.80|19.49万|4.55亿|8.58%|23.84|21.98|21.98|21.67|3|36.45%|374.91|9.64
17|002117|东港股份|10.85|7.53%|0.76|20.98万|2.27亿|10.21%|11.10|10.07|10.09|10.09|5|3.85%|20.88|4.10
18|300369|绿盟科技|15.64|7.42%|1.08|26.69万|4.17亿|9.75%|16.02|14.60|14.60|14.56|5|3.70%|128.64|4.06
19|603266|天龙股份|13.29|7.18%|0.89|19.49万|2.54亿|8.39%|13.64|12.60|12.66|12.40|5|39.77%|57.89|3.12
20|300443|金雷股份|14.66|6.46%|0.89|2.95万|4263.89万|7.26%|14.78|13.78|13.89|13.77|2|1.85%|25.56|2.00
21|002902|铭普光磁|29.11|6.44%|1.76|33.93万|9.73亿|10.53%|29.99|27.11|27.44|27.35|2|31.30%|163.46|5.76
22|002199|东晶电子|14.19|5.90%|0.79|19.39万|2.66亿|12.46%|14.74|13.07|13.33|13.40|1|7.96%|173.96|9.17
23|603703|盛洋科技|14.44|5.87%|0.80|4.00万|5709.07万|8.14%|14.70|13.59|13.65|13.64|1|3.67%|601.75|7.59
24|600882|妙可蓝多|11.13|5.80%|0.61|3.09万|3384.84万|6.18%|11.18|10.53|10.61|10.52|2|0.76%|2964.17|3.73
25|002319|乐通股份|11.51|5.50%|0.60|2.62万|3060.04万|9.81%|12.00|10.93|10.93|10.91|3|1.31%|167.07|5.35
