序号	 代码	名称	  	最新价	涨跌幅	涨跌额	成交量(手)	成交额		振幅	最高	最低	今开	昨收	量比	换手率	市盈率(动态)	市净率
1	603256	N宏和	 	6.38	44.02%	1.95	949		60.16万		23.93%	6.38	5.32	5.32	4.43	2	0.11%	46.16		3.81
2	300179	四方达	 	5.68	10.08%	0.52	32.86万		1.84亿		8.33%	5.68	5.25	5.34	5.16	2	9.81%	27.86		3.30
3	002201	九鼎新材	8.09	10.07%	0.74	3.86万		3123.70万	0.00%	8.09	8.09	8.09	7.35	3	1.16%	263.97		2.98
4	000011	深物业A	 	10.63	10.04%	0.97	7.41万		7709.58万	9.83%	10.63	9.68	9.68	9.66	2	1.41%	20.19		1.96
5	002639	雪人股份	8.55	10.04%	0.78	29.90万		2.54亿		3.73%	8.55	8.26	8.30	7.77	2	5.62%	628.44		2.55
6	600281	太化股份	5.81	10.04%	0.53	29.74万		1.68亿		9.47%	5.81	5.31	5.49	5.28	2	5.78%	-86.72		6.98
7	002199	东晶电子	12.73	10.03%	1.16	8.71万		1.08亿		9.77%	12.73	11.60	11.70	11.57	1	3.58%	-156.06		8.22
8	300191	潜能恒信	24.92	10.02%	2.27	5356		1334.77万	0.00%	24.92	24.92	24.92	22.65	0	0.26%	472.36		6.77
9	002362	汉王科技	16.58	10.02%	1.51	10.30万		1.68亿		10.15%	16.58	15.05	15.20	15.07	6	5.75%	-110.06		4.16
10	300648	星云股份	20.10	10.02%	1.83	13.76万		2.66亿		8.76%	20.10	18.50	18.50	18.27	2	22.92%	389.14		5.13
11	300783	三只松鼠	34.05	10.02%	3.10	2328		792.85万	0.00%	34.05	34.05	34.05	30.95	3	0.57%	13.69		7.16
12	300023	宝德股份	7.36	10.01%	0.67	5.87万		4264.41万	9.57%	7.36	6.72	6.72	6.69	1	4.07%	-9.21		5.37
13	300575	中旗股份	26.38	10.01%	2.40	5.16万		1.32亿		9.92%	26.38	24.00	24.19	23.98	1	7.98%	11.64		2.87
14	300785	值得买	 	59.91	10.01%	5.45	452		270.79万	0.00%	59.91	59.91	59.91	54.46	2	0.34%	44.03		4.73
15	603236	移远通信	84.21	10.01%	7.66	876		738.00万	0.00%	84.21	84.21	84.21	76.55	2	0.39%	41.61		4.69
16	000669	金鸿控股	4.62	10.00%	0.42	4.46万		2060.37万	0.00%	4.62	4.62	4.62	4.20	1	0.67%	-10.44		1.28
17	300526	中潜股份	22.35	9.99%	2.03	8.61万		1.88亿		11.71%	22.35	19.97	20.04	20.32	1	14.33%	541.52		7.02
18	300708	聚灿光电	14.21	9.98%	1.29	9.90万		1.39亿		9.29%	14.21	13.01	13.10	12.92	1	11.32%	237.16		5.03
19	300488	恒锋工具	17.30	9.98%	1.57	1.81万		3098.39万	11.13%	17.30	15.55	15.73	15.73	1	3.68%	33.09		3.12
20	601236	红塔证券	12.91	9.97%	1.17	18.69万		2.41亿		0.00%	12.91	12.91	12.91	11.74	6	5.13%	121.38		3.68
